kl_loss,loss,reconstruction_loss
4.391034126281738,136.86328125,132.47225952148438
4.712423324584961,122.04545593261719,117.33305358886719
4.811373233795166,120.67269897460938,115.86134338378906
4.874387741088867,119.99237823486328,115.11798095703125
4.837029457092285,119.67063903808594,114.83361053466797
4.872502326965332,119.31494140625,114.44243621826172
4.879350662231445,118.9878158569336,114.10848236083984
4.85676908493042,118.8790512084961,114.02228546142578
4.893061637878418,118.7017593383789,113.80868530273438
4.890324592590332,118.60716247558594,113.71685791015625
4.876317024230957,118.44389343261719,113.56758880615234
4.886743068695068,118.27830505371094,113.39155578613281
4.889594554901123,118.1879653930664,113.29837799072266
4.897630214691162,118.12371063232422,113.22608947753906
4.882979869842529,118.07304382324219,113.1900405883789
4.916233539581299,117.92916107177734,113.01294708251953
4.903447151184082,117.90897369384766,113.00552368164062
4.930531978607178,117.85971069335938,112.92921447753906
4.90934944152832,117.9508285522461,113.04150390625
4.902775764465332,117.76551818847656,112.86272430419922
4.88632345199585,117.79755401611328,112.91118621826172
4.946676254272461,117.6012954711914,112.65460968017578
4.911655426025391,117.53498077392578,112.62332153320312
4.91864538192749,117.40723419189453,112.48859405517578
4.908963203430176,117.42337799072266,112.51443481445312
4.943820953369141,117.42200469970703,112.47820281982422
4.907844543457031,117.36113739013672,112.45330047607422
4.935016632080078,117.337158203125,112.40213012695312
4.909804821014404,117.40454864501953,112.49476623535156
4.931921005249023,117.23695373535156,112.3050765991211
