kl_loss,loss,reconstruction_loss
4.995937824249268,118.68568420410156,113.68974304199219
4.924046039581299,117.62972259521484,112.70568084716797
4.860237121582031,116.99706268310547,112.13681030273438
4.848536014556885,116.76549530029297,111.91695404052734
4.870787143707275,116.34516143798828,111.47438049316406
4.8913893699646,116.43810272216797,111.54672241210938
4.915306091308594,116.18246459960938,111.26715087890625
4.921544075012207,116.2139892578125,111.29246520996094
4.950870037078857,116.01080322265625,111.0599365234375
4.948421955108643,115.80979919433594,110.86138916015625
4.955328464508057,115.85797882080078,110.90267181396484
4.958874702453613,115.97801971435547,111.01914978027344
4.938950061798096,115.73339080810547,110.7944564819336
4.894359588623047,115.66770935058594,110.77335357666016
4.9094343185424805,115.49544525146484,110.58602142333984
4.927699089050293,115.42626190185547,110.4985580444336
4.940685749053955,115.33065032958984,110.38996124267578
4.954947471618652,115.30429077148438,110.34935760498047
4.972079277038574,115.26537322998047,110.29330444335938
4.968481540679932,115.29840087890625,110.32991790771484
4.979939937591553,115.04325866699219,110.06332397460938
4.956097602844238,115.0221176147461,110.06603240966797
4.939355373382568,114.98444366455078,110.04510498046875
4.920510768890381,114.91941833496094,109.99889373779297
4.906280040740967,114.99225616455078,110.08597564697266
4.945117950439453,114.92308044433594,109.9779281616211
5.032015323638916,114.96336364746094,109.93136596679688
5.058648109436035,114.88007354736328,109.82142639160156
5.017971992492676,114.86749267578125,109.8495101928711
4.993720054626465,114.73458099365234,109.7408676147461
