kl_loss,loss,reconstruction_loss
4.919381141662598,117.21853637695312,112.29915618896484
4.944131374359131,117.22412109375,112.27995300292969
4.938043594360352,117.25639343261719,112.31832885742188
4.91832971572876,117.03811645507812,112.1197738647461
4.942861557006836,117.12738800048828,112.18453979492188
4.932560920715332,117.05558776855469,112.12303161621094
4.958436489105225,117.10575103759766,112.14730072021484
4.940825939178467,117.13079071044922,112.18999481201172
4.950168609619141,116.87773895263672,111.9275894165039
4.927121162414551,116.948486328125,112.02137756347656
4.937934398651123,116.8354721069336,111.89752197265625
4.954525947570801,116.89044952392578,111.93596649169922
4.968079566955566,116.9316177368164,111.9635238647461
4.9395036697387695,116.80216217041016,111.86268615722656
4.931601047515869,116.92491912841797,111.9933090209961
4.941323280334473,116.70276641845703,111.7614517211914
4.96504020690918,116.76679229736328,111.80174255371094
4.958777904510498,116.73699951171875,111.77821350097656
4.9498162269592285,116.65725708007812,111.70742797851562
4.93895149230957,116.63969421386719,111.70075225830078
4.957705974578857,116.55144500732422,111.59375762939453
4.950019836425781,116.6400375366211,111.68999481201172
4.959565162658691,116.63124084472656,111.67164611816406
4.968655586242676,116.5516357421875,111.58299255371094
4.961007595062256,116.65263366699219,111.6916275024414
4.959951400756836,116.5057373046875,111.54574584960938
4.939648628234863,116.45307159423828,111.51341247558594
4.977499485015869,116.49067687988281,111.51316833496094
4.982370853424072,116.55642700195312,111.57408142089844
4.948978900909424,116.48059844970703,111.53166198730469
