kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0.2198864072561264,381.8447265625,381.62481689453125,2.1435052985907532e-05,376.7813720703125,376.7813415527344
2.1343510525184684e-05,376.85662841796875,376.8565673828125,2.1264069800963625e-05,376.70965576171875,376.70965576171875
2.1257466869428754e-05,376.80169677734375,376.8016357421875,2.1276919142110273e-05,376.6592712402344,376.65924072265625
2.132429654011503e-05,376.7651062011719,376.76507568359375,2.14607880479889e-05,376.7364501953125,376.7364501953125
2.121311263181269e-05,377.6809997558594,377.680908203125,2.0661562302848324e-05,376.982666015625,376.982666015625
2.096492789860349e-05,376.85089111328125,376.8507995605469,2.1468998966156505e-05,376.6163635253906,376.6163330078125
2.1942447347100824e-05,377.0816650390625,377.0816345214844,2.217859037045855e-05,377.30377197265625,377.3037414550781
2.266058072564192e-05,377.05780029296875,377.05780029296875,2.3358101316262037e-05,376.65740966796875,376.6573791503906
2.4154414859367535e-05,376.92401123046875,376.9239501953125,2.4935723558883183e-05,377.0155944824219,377.01556396484375
2.5618446670705453e-05,376.982177734375,376.9821472167969,2.6409950805827975e-05,376.55474853515625,376.5546875
2.7279433197691105e-05,376.7633972167969,376.76336669921875,2.819276778609492e-05,376.91290283203125,376.91290283203125
2.9134975193301216e-05,376.8531494140625,376.8531188964844,3.011919943674002e-05,376.46893310546875,376.4688720703125
3.113593993475661e-05,376.69451904296875,376.69451904296875,3.219905192963779e-05,376.8647155761719,376.86468505859375
3.318326344015077e-05,376.771484375,376.77142333984375,3.424233364057727e-05,376.40728759765625,376.4072570800781
3.524341809679754e-05,376.59521484375,376.5951843261719,3.638525231508538e-05,376.5839538574219,376.58392333984375
3.745739741134457e-05,376.54632568359375,376.54632568359375,3.866163024213165e-05,376.35260009765625,376.3525390625
3.9770773582858965e-05,376.48663330078125,376.48663330078125,4.103570609004237e-05,376.3227233886719,376.32269287109375
4.22237571910955e-05,376.38201904296875,376.38201904296875,4.346771311247721e-05,376.55389404296875,376.5538330078125
4.4601089030038565e-05,376.46490478515625,376.46484375,4.581589746521786e-05,376.1451721191406,376.1451110839844
4.695186362368986e-05,376.28271484375,376.28265380859375,4.824740972253494e-05,376.280029296875,376.27996826171875
4.945673208567314e-05,376.3770751953125,376.37701416015625,5.0748752983054146e-05,376.0947265625,376.09466552734375
5.1878705562558025e-05,376.0817565917969,376.08172607421875,5.323599179973826e-05,376.066650390625,376.06658935546875
5.44136346434243e-05,376.3690185546875,376.36895751953125,5.581480581895448e-05,376.0548400878906,376.0547790527344
5.690783291356638e-05,376.0480651855469,376.0479736328125,5.809692447655834e-05,375.84771728515625,375.84765625
5.921655974816531e-05,376.1539306640625,376.1539001464844,6.047202623449266e-05,376.08154296875,376.08148193359375
6.167778337839991e-05,376.0170593261719,376.0169677734375,6.306426075752825e-05,375.775634765625,375.77557373046875
6.428911001421511e-05,376.13543701171875,376.1353759765625,6.584180664503947e-05,376.1252136230469,376.1251525878906
6.702361861243844e-05,375.99444580078125,375.994384765625,6.839940760983154e-05,375.7222595214844,375.7221984863281
6.972068513277918e-05,375.9751892089844,375.97515869140625,7.12836190359667e-05,375.986328125,375.98626708984375
7.26428916095756e-05,376.0278015136719,376.0276794433594,7.433022256009281e-05,375.7786865234375,375.77862548828125
7.542609819211066e-05,375.9024658203125,375.9024353027344,7.680769340367988e-05,375.8133850097656,375.81329345703125
7.787736103637144e-05,375.91375732421875,375.9136657714844,7.946154073579237e-05,375.93414306640625,375.93402099609375
8.08253389550373e-05,375.936279296875,375.93621826171875,8.225497731473297e-05,375.660400390625,375.66033935546875
8.329479896929115e-05,375.7951354980469,375.7950439453125,8.508802420692518e-05,375.8646545410156,375.86456298828125
8.66117188706994e-05,376.0152587890625,376.0152282714844,8.835669723339379e-05,375.65985107421875,375.6597900390625
8.95360644790344e-05,375.7424011230469,375.74237060546875,9.148217941401526e-05,375.65179443359375,375.65167236328125
9.278999641537666e-05,375.90618896484375,375.9060974121094,9.465505718253553e-05,375.86749267578125,375.86737060546875
9.59825556492433e-05,375.81866455078125,375.8185729980469,9.767901065060869e-05,375.6220703125,375.6219482421875
9.901149314828217e-05,375.8595886230469,375.8594970703125,0.00010056450992124155,375.68853759765625,375.68841552734375
0.000101881378213875,375.74267578125,375.7425537109375,0.00010349923832109198,375.5927429199219,375.5926513671875
0.0001052165316650644,375.8591003417969,375.8590087890625,0.0001073675011866726,375.65826416015625,375.65814208984375
0.00010876085434574634,375.7691650390625,375.76904296875,0.000111203029518947,375.6230163574219,375.6228942871094
0.00011217655264772475,375.7005310058594,375.7004089355469,0.0001146071808761917,375.6871337890625,375.68701171875
0.00011615184484981,375.79754638671875,375.79742431640625,0.00011889309098478407,375.60137939453125,375.60125732421875
0.00012015277752652764,375.7086181640625,375.70849609375,0.00012269840226508677,375.74444580078125,375.74432373046875
